id,category,desiredFile,currentImageUrl,question,wikimediaUrl,license,author,source
Q0043,"Genel Kültür","genel_kultur_q0043.jpg","assets/images/questions/geography_turkey_world_heritage.jpg","Hangisi Türkiye'nin Dünya Mirası Listesi'nde yer alan alanlarından biri değildir?",,,,
Q0054,"Genel Kültür","genel_kultur_q0054.jpg","assets/images/questions/geography_q0054.jpg","İstanbul'da bulunan bu tarihi yapı Ayasofya mıdır?",,,,
Q0055,"Genel Kültür","genel_kultur_q0055.jpg","assets/images/questions/cografya_q0542_fixed.jpg","Bu görsel Pamukkale travertenlerini göstermektedir.",,,,
Q0056,"Genel Kültür","genel_kultur_q0056.jpg","assets/images/questions/cografya_q0543_fixed.jpg","Bu görseldeki yapı Dolmabahçe Sarayı'dır.",,,,
Q0057,"Genel Kültür","genel_kultur_q0057.jpg","assets/images/questions/history_q0057.jpg","Bu görseldeki tarihi yapı Kız Kulesi'dir.",,,,
Q0058,"Genel Kültür","genel_kultur_q0058.jpg","assets/images/questions/politics_q0058.jpg","Bu görseldeki yapı Efes Antik Kenti'ndeki Celcus Kütüphanesi'dir.",,,,
Q0059,"Genel Kültür","genel_kultur_q0059.jpg","assets/images/questions/img_burj_khalifa.jpg","Dünyanın en yüksek binası Burj Khalifa, Dubai'dedir.",,,,
Q0060,"Genel Kültür","genel_kultur_q0060.jpg","assets/images/questions/img_nobel_medal_fixed_fixed.jpg","Nobel Ödülleri, Alfred Nobel'in vasiyeti üzerine 1901 yılından beri verilmektedir.",,,,
Q0061,"Genel Kültür","genel_kultur_q0061.jpg","assets/images/questions/genel kultur_q0061_fixed.jpg","ABD'nin başkenti New York'tur.",,,,
Q0062,"Genel Kültür","genel_kultur_q0062.jpg","assets/images/questions/img_red_sea.jpg","Kızıldeniz, adını içindeki yosunlardan dolayı almaktadır.",,,,
Q0063,"Genel Kültür","genel_kultur_q0063.jpg","assets/images/questions/geography_china_population.jpg","Çin, dünya nüfusu en kalabalık ülkedir.",,,,
Q0064,"Genel Kültür","genel_kultur_q0064.jpg","assets/images/questions/geography_q0064.jpg","Cumhurbaşkanlığı forsundaki 16 yıldız, Türk tarihindeki 16 büyük Türk devletini temsil eder.",,,,
Q0065,"Genel Kültür","genel_kultur_q0065.jpg","assets/images/questions/img_louvre.jpg","Da Vinci'nin 'Son Akşam Yemeği' tablosu Louvre Müzesi'nde sergilenmektedir.",,,,
Q0066,"Genel Kültür","genel_kultur_q0066.jpg","assets/images/questions/img_bacteria_ecoli.svg","Bir bakteri türü olan E. coli, sağlıklı insan vücudunda doğal olarak bulunur.",,,,
Q0067,"Genel Kültür","genel_kultur_q0067.jpg","assets/images/questions/politics_q0067_fixed.jpg","Eyfel Kulesi, 1889 Paris Dünya Fuarı için inşa edilmiştir.",,,,
Q0068,"Genel Kültür","genel_kultur_q0068.jpg","assets/images/questions/img_human_bones.jpg","İnsan vücudundaki en uzun kemik, kol kemiğidir.",,,,
Q0069,"Genel Kültür","genel_kultur_q0069.jpg","assets/images/questions/img_london.jpg","Londra, Birleşik Krallık'ın en büyük şehridir.",,,,
Q0070,"Genel Kültür","genel_kultur_q0070.jpg","assets/images/questions/img_mehter.jpg","Mehter Marşı, dünyanın bilinen en eski askeri marşıdır.",,,,
Q0071,"Genel Kültür","genel_kultur_q0071.jpg","assets/images/questions/img_cappadocia.jpg","Peri bacaları, Nevşehir'in Ürgüp ilçesinde bulunmaktadır.",,,,
Q0072,"Genel Kültür","genel_kultur_q0072.jpg","assets/images/questions/genel kultur_q0072_fixed.jpg","İnsanlarda 23 çift kromozom bulunur.",,,,
Q0073,"Genel Kültür","genel_kultur_q0073.jpg","assets/images/questions/science_q0073_fixed.jpg","Avrupa Birliği'nin resmi para birimi olan Euro, tüm üye ülkelerde kullanılmaktadır.",,,,
Q0083,"Genel Kültür","genel_kultur_q0083.jpg","assets/images/questions/sports_golf.jpg","Golf sporunun kökleri İskoçya'ya dayanmaktadır.",,,,
